# X , Y , E , DX
1
0.390201,0.0757677,0.00296425,0.00771306
0.391994,0.0691647,0.00326966,0.00776979
0.393786,0.0679103,0.00259362,0.00781361
0.395578,0.068853,0.00382171,0.00784614
0.397371,0.0686224,0.00264528,0.00788066
0.399163,0.068528,0.00306392,0.00792152
0.400956,0.0665704,0.00246783,0.00797784
0.402748,0.0693998,0.00322719,0.00798383
0.40454,0.0750984,0.00340454,0.00802186
0.406333,0.0659686,0.0033118,0.00807209
0.408125,0.0646468,0.0027933,0.0081204
0.409918,0.06494,0.00336201,0.0081474
0.41171,0.0636845,0.00318301,0.00821059
0.413502,0.0657244,0.00273576,0.00822488
0.415295,0.0669229,0.00343061,0.0082654
0.417087,0.059582,0.00369686,0.00832822
0.41888,0.0684382,0.00307962,0.00832906
0.420672,0.062511,0.00363973,0.0083956
0.422464,0.0587442,0.00243811,0.00843955
0.424257,0.0641439,0.00315831,0.00848313
0.426049,0.0639397,0.00351368,0.0085317
0.427842,0.0617225,0.00298183,0.00854313
0.429634,0.0609175,0.00312723,0.00860988
0.431426,0.0674608,0.00428562,0.00861722
0.433219,0.0601484,0.00375159,0.00868798
0.435011,0.0649769,0.00309562,0.00871397
0.436804,0.0659902,0.00343775,0.00872951
0.438596,0.0679796,0.00339432,0.00877705
0.440388,0.0692288,0.00379016,0.00882399
0.442181,0.0629909,0.00328313,0.00888221
0.443973,0.0670791,0.00395976,0.00890672
0.445766,0.0667312,0.00304604,0.00894314
0.447558,0.0727478,0.00534444,0.0089821
0.44935,0.0568827,0.00346913,0.00902439
0.451143,0.0559684,0.00298689,0.00910958
0.452935,0.0710241,0.00380189,0.00909922
0.454728,0.0659465,0.00463225,0.00916219
0.45652,0.06033,0.00399557,0.00918643
0.458312,0.0708638,0.00408194,0.0092047
0.460105,0.0607071,0.00475672,0.00930026
0.461897,0.0600588,0.00472291,0.00931973
0.46369,0.0701783,0.00619183,0.00935499
0.465482,0.0651653,0.00389637,0.00939957
0.467274,0.0609242,0.00422712,0.00944545
0.469067,0.0640497,0.00476367,0.00946944
0.470859,0.0648651,0.00382125,0.00953216
0.472652,0.0690006,0.00484061,0.00955949
0.474444,0.067535,0.0051326,0.00959565
0.476236,0.0637212,0.00646139,0.00964208
0.478029,0.0600414,0.0048087,0.00968079
0.479821,0.0660094,0.00582197,0.00973634
0.481614,0.0579776,0.00589752,0.0097573
0.483406,0.065134,0.00601397,0.00981505
0.485198,0.0615726,0.00547221,0.00985615
0.486991,0.0530259,0.00626046,0.00990962
0.488783,0.0477918,0.00516096,0.009956
0.490576,0.0561293,0.00501373,0.00997611
0.492368,0.0706002,0.00731789,0.0100155
0.49416,0.0465835,0.00674533,0.0100619
0.495953,0.0512294,0.00750835,0.0101313
0.497745,0.0553429,0.00930018,0.010156
0.499538,0.0737108,0.00738938,0.0101402
0.50133,0.0581271,0.00904955,0.0102141
0.503122,0.0598328,0.0100272,0.0102413
0.504915,0.0327792,0.00630734,0.010291
0.506707,0.0582817,0.00897376,0.0103318
0.5085,0.0707367,0.0102353,0.01035
0.510292,0.0860251,0.0149824,0.0103934
0.512084,0.0517336,0.00904248,0.0104477
0.513877,0.0510748,0.0155876,0.0104852
0.515669,0.073587,0.0125288,0.0104984
0.517462,0.0631954,0.0170387,0.0105678
0.519254,0.0573749,0.017714,0.0105865
0.521046,0.0261196,0.00911611,0.0106587
0.522839,0.0612951,0.0194776,0.0106823
0.524631,0.0228076,0.0202966,0.010711
0.526424,0.0485155,0.0242747,0.0107357
0.528216,0.103002,0.0364698,0.0107632
0.530008,0.0243069,0.0171895,0.0107907
0.531801,0,0,0
0.533593,0,0,0
0.535386,0,0,0
0.537178,0,0,0
0.538971,0,0,0
