GRASP_Variant V.10.18    Instrument:  ILL_d22_2D 
  
***** Sample, Backgrounds and Transmissions Data: ***** 
Subtitle:  8/4 1% Silica 
Start: 23-Aug-23  22:17:11   End: 23-Aug-23  22:37:11 
  
Foreground:  169687 , Loaded: 169687{5} 
Background:  169686 , Loaded: 169686 
Blocked Beam:  169685 , Loaded: 169685 
  
Beam Centre1 :  Cx = 65.3644  Cy = 125.6666       Cm Translation :  Tx = -0.05  Ty = 0 [mm] 
Beam Centre2 :  Cx = 47  Cy = 123.0077       Cm Translation :  Tx = 10.0624  Ty = 0 [mm] 
Transmissions:  Ts = 0.63815 +/- 0.011557  Te = 0.9931 +/- 0.015857 
Transmissions Thickness Correction is:  on 
Applying standard SANS data reduction:  I_corr = 1/[Ts Te] [I_s - I_cd]  - 1/[Te] [I_bck - I_cd] 
  
***** Calibrations: ***** 
Data: Corrected for D22 Detector Parallax 
Data: Corrected for Detector Efficiency 
Data: Corrected for Relative Detector Efficiency (variation between detector panels) 
Data: Divided by Volume 
Sample Thickness is: 0.1 cm 
Solid Angle Correction: 
Divide data by empty beam flux, I0, from worksheet: I0 Beam Intensity 2 2 
Applying Default Instrument Mask 
Applying User Defined Mask 
Applying NanInf Mask 
Intensity units are:  cm-1 \\ \Delta\Omega  
  
***** Analysis ***** 
Averaging Worksheets through Depths  1:5 
Numor:  169687 
Averaging I vs. Q.  Bin size:  5 [Fractional Resolution]  linear 
 
 
***** Data ***** 
Mod_Q	I	Err_I	Sigma_Q	
 
 
0.00167837	992.06062127	9.20805073	0.00042834
0.00189293	948.34900179	6.65873222	0.00044824
0.00211466	888.33734563	4.83863796	0.00045817
0.00232519	842.88631902	4.26094587	0.00046605
0.00252389	794.25248792	3.97600335	0.00047128
0.00272644	749.04413192	3.57610673	0.00047247
0.00293092	689.97498432	3.30106046	0.00047123
0.00316183	621.86257241	2.64685086	0.00047671
0.00341639	548.67112088	2.35611464	0.00048091
0.00365358	484.65778977	2.25260337	0.00048005
0.00389382	422.27557240	1.86432356	0.00048621
0.00415416	356.61538910	1.60614447	0.00049200
0.00441465	297.65661024	1.42293206	0.00049474
0.00465258	247.58311885	1.34304967	0.00049423
0.00487908	203.42811045	1.14727944	0.00050093
0.00511464	166.78997803	0.98669506	0.00050329
0.00536235	133.82030045	0.82769187	0.00050910
0.00560635	102.75527686	0.73962326	0.00051229
0.00584470	79.02041451	0.61564986	0.00051725
0.00609169	58.10094660	0.50931820	0.00052243
0.00633262	41.64240851	0.43824126	0.00052660
0.00656640	30.14395947	0.36539488	0.00053146
0.00682243	19.95330389	0.26956783	0.00053915
0.00708758	12.94513344	0.22737638	0.00054261
0.00734471	8.32821056	0.18153152	0.00054944
0.00760147	5.66137467	0.15377505	0.00055491
0.00786951	4.12421385	0.12824920	0.00056169
0.00815070	3.54569252	0.12043947	0.00056919
0.00842205	3.97408554	0.12511041	0.00057390
0.00868298	4.69647227	0.13269263	0.00058038
0.00894817	5.49829611	0.13570606	0.00058764
0.00921559	5.82748682	0.13882284	0.00059511
0.00950183	6.42139621	0.12961712	0.00060245
0.00979418	6.77780896	0.13852633	0.00061046
0.01006974	6.91968769	0.13867693	0.00061741
0.01035363	6.50165845	0.12671321	0.00062690
0.01065288	5.92742993	0.11815940	0.00063443
0.01094878	5.29274109	0.11539195	0.00064176
0.01124797	4.45461936	0.10147118	0.00065111
0.01156283	3.70699709	0.09181607	0.00066106
0.01188895	2.85059715	0.07990999	0.00067162
0.01221065	2.25509570	0.07751713	0.00067915
0.01252724	1.72023693	0.07011686	0.00069048
0.01286432	1.39943105	0.05991077	0.00070244
0.01319983	1.36016549	0.06068252	0.00071058
0.01352117	1.26469018	0.06021978	0.00072094
0.01386354	1.40845193	0.05706845	0.00073321
0.01421557	1.48667852	0.05962792	0.00074267
0.01455441	1.56563569	0.06000322	0.00075348
0.01490452	1.53828879	0.06010528	0.00076231
0.01526747	1.66546148	0.06003206	0.00077558
0.01562992	1.70058153	0.06055757	0.00078227
0.01599881	1.68385046	0.06429333	0.00079548
0.01637296	1.54922629	0.06880383	0.00080855
0.01675147	1.34991211	0.07059581	0.00082104
0.01713884	1.17755972	0.07012380	0.00083458
0.01753375	1.14041348	0.07536026	0.00084807
0.01793978	0.89135803	0.07268156	0.00086232
0.01835039	0.97418820	0.07309065	0.00087633
0.01876572	0.79584765	0.08369821	0.00089563
0.01918821	0.68613546	0.09032724	0.00091023
0.01961963	0.88446735	0.09241212	0.00092477
0.02005429	0.76796178	0.11161150	0.00093756
0.02049679	0.70288710	0.11379675	0.00095574
0.02093706	0.75749933	0.15771394	0.00097902
0.02138415	0.68822024	0.20283709	0.00099327
0.02183309	0.28895944	0.28407101	0.00101736
0.02225491	0.69490026	0.31811938	0.00112186
0.02291934	0.70945718	0.06754700	0.00156023
0.02352589	0.67437013	0.02964251	0.00157868
0.02425831	0.58039380	0.03364769	0.00160203
0.02514023	0.58372370	0.03323440	0.00162863
0.02609043	0.61153276	0.02814202	0.00164942
0.02675801	0.59442665	0.02651882	0.00167124
0.02757520	0.53253453	0.03199459	0.00169900
0.02823665	0.58040472	0.03298479	0.00171692
0.02905063	0.59416470	0.02135305	0.00173862
0.02988455	0.55829257	0.02573318	0.00176588
0.03087061	0.58506364	0.02398004	0.00179339
