GRASP_Variant V.10.18    Instrument:  ILL_d22_2D 
  
***** Sample, Backgrounds and Transmissions Data: ***** 
Subtitle:  8/4 40% Silica 
Start: 24-Aug-23  00:46:36   End: 24-Aug-23  00:51:36 
  
Foreground:  169708 , Loaded: 169704:169713,169702,169703 
Background:  169701 , Loaded: 169701 
Blocked Beam:  169700 , Loaded: 169700 
  
Beam Centre1 :  Cx = 65.3598  Cy = 130.2803       Cm Translation :  Tx = -0.05  Ty = 0 [mm] 
Beam Centre2 :  Cx = 47  Cy = 123.1965       Cm Translation :  Tx = 10.0391  Ty = 0 [mm] 
Transmissions:  Ts = 0.72353 +/- 0.0071324  Te = 0.94242 +/- 0.0097735 
Transmissions Thickness Correction is:  on 
Applying standard SANS data reduction:  I_corr = 1/[Ts Te] [I_s - I_cd]  - 1/[Te] [I_bck - I_cd] 
  
***** Calibrations: ***** 
Data: Corrected for D22 Detector Parallax 
Data: Corrected for Detector Efficiency 
Data: Corrected for Relative Detector Efficiency (variation between detector panels) 
Data: Divided by Volume 
Sample Thickness is: 0.1 cm 
Solid Angle Correction: 
Divide data by empty beam flux, I0, from worksheet: I0 Beam Intensity 1 6 
Applying Default Instrument Mask 
Applying User Defined Mask 
Applying NanInf Mask 
Intensity units are:  cm-1 \\ \Delta\Omega  
  
***** Analysis ***** 
Averaging Worksheets through Depths  1:12 
Numor:  169708 
Averaging I vs. Q.  Bin size:  5 [Fractional Resolution]  linear 
 
 
***** Data ***** 
Mod_Q	I	Err_I	Sigma_Q	
 
 
0.00272172	396.96853638	3.58938120	0.00078731
0.00319474	594.21271040	2.67327939	0.00088390
0.00366965	963.29028437	3.06926496	0.00089081
0.00414327	1463.05413951	3.83785719	0.00089603
0.00458226	1818.38383216	4.69539814	0.00089590
0.00498273	1875.28780187	4.64866351	0.00089525
0.00542912	1609.37911238	3.52638073	0.00090873
0.00588706	1122.03897411	2.84331495	0.00091017
0.00630323	649.47195517	1.89507334	0.00091616
0.00671498	321.75361343	1.19254341	0.00091907
0.00713090	146.59028516	0.73091315	0.00092567
0.00755704	68.18269035	0.46457846	0.00093117
0.00800157	35.24162407	0.31299434	0.00093752
0.00846313	25.53138408	0.25536144	0.00094478
0.00891711	26.09148943	0.25870680	0.00095140
0.00936078	30.43401670	0.27131926	0.00095457
0.00979898	33.37843439	0.28272806	0.00096431
0.01023060	33.48480949	0.27707125	0.00097170
0.01065650	30.88450423	0.26323628	0.00097854
0.01109196	25.95801107	0.22875199	0.00098850
0.01157029	19.86635636	0.18381425	0.00100196
0.01203953	14.48005194	0.16762747	0.00100506
0.01247554	10.19666816	0.13598419	0.00101632
0.01292500	7.64156214	0.11425883	0.00102717
0.01337917	6.07691958	0.10061034	0.00103524
0.01388509	5.56576008	0.08528695	0.00104751
0.01443181	6.11656897	0.08886696	0.00106036
0.01497947	6.67999932	0.08977324	0.00107600
0.01549965	7.23024002	0.09852676	0.00108415
0.01598184	7.18915735	0.09688867	0.00109545
0.01646613	6.69688802	0.09157001	0.00110677
0.01695976	6.06587867	0.08475689	0.00111895
0.01746602	5.05339469	0.07533194	0.00113555
0.01801895	3.97669403	0.06151511	0.00115125
0.01858054	3.10163375	0.05633260	0.00116300
0.01910770	2.44334896	0.05030759	0.00117694
0.01965039	1.98544234	0.04297200	0.00119381
0.02023706	1.87150365	0.03976727	0.00121371
0.02082713	1.71571573	0.03860450	0.00122796
0.02139010	1.74514925	0.03887329	0.00124134
0.02196818	1.73759780	0.03689636	0.00125904
0.02255653	1.63596550	0.03616891	0.00127736
0.02313200	1.58376459	0.03518505	0.00129457
0.02371583	1.35866072	0.03193384	0.00131194
0.02431045	1.29122866	0.03063345	0.00132953
0.02491384	1.22194039	0.02900055	0.00134847
0.02555525	1.16170007	0.02683968	0.00137305
0.02620400	1.17303390	0.02746243	0.00138961
0.02685413	1.18763521	0.02631719	0.00141309
0.02751624	1.15036642	0.02610134	0.00143252
0.02817524	1.10169792	0.02480107	0.00144899
0.02886832	0.96676422	0.02276938	0.00147605
0.02960799	0.87991566	0.02255202	0.00148535
0.03033441	0.81970256	0.02327423	0.00150870
0.03104727	0.77480416	0.02416713	0.00153392
0.03176368	0.73375558	0.02566402	0.00155848
0.03249423	0.70099832	0.02586538	0.00159207
0.03325110	0.67681180	0.02722147	0.00161788
0.03400926	0.67968759	0.02902387	0.00164449
0.03477287	0.67104972	0.03048773	0.00167081
0.03556236	0.69219043	0.03210178	0.00169763
0.03636787	0.65179439	0.03427937	0.00172567
0.03717364	0.68458054	0.03753327	0.00175309
0.03800250	0.58823509	0.03829447	0.00179090
0.03884160	0.71301939	0.04745367	0.00181544
0.03968737	0.62026639	0.05120580	0.00185625
0.04054383	0.55924535	0.06192779	0.00188558
0.04134171	0.62698226	0.10744492	0.00192306
0.04209943	0.88071078	0.28454111	0.00228343
0.04357281	0.58012599	0.02922341	0.00299610
0.04504400	0.55300200	0.01646294	0.00302280
0.04644673	0.52525576	0.01967962	0.00306757
0.04813570	0.56289794	0.02029433	0.00311850
