GRASP_Variant V.10.18    Instrument:  ILL_d22_2D 
  
***** Sample, Backgrounds and Transmissions Data: ***** 
Subtitle:  8/4 1% Silica 
Start: 24-Aug-23  00:16:24   End: 24-Aug-23  00:31:24 
  
Foreground:  169704 , Loaded: 169704:169713,169702,169703 
Background:  169701 , Loaded: 169701 
Blocked Beam:  169700 , Loaded: 169700 
  
Beam Centre1 :  Cx = 65.3598  Cy = 130.2803       Cm Translation :  Tx = -0.05  Ty = 0 [mm] 
Beam Centre2 :  Cx = 47  Cy = 123.1965       Cm Translation :  Tx = 10.0391  Ty = 0 [mm] 
Transmissions:  Ts = 0.71183 +/- 0.0047942  Te = 0.94242 +/- 0.0097735 
Transmissions Thickness Correction is:  on 
Applying standard SANS data reduction:  I_corr = 1/[Ts Te] [I_s - I_cd]  - 1/[Te] [I_bck - I_cd] 
  
***** Calibrations: ***** 
Data: Corrected for D22 Detector Parallax 
Data: Corrected for Detector Efficiency 
Data: Corrected for Relative Detector Efficiency (variation between detector panels) 
Data: Divided by Volume 
Sample Thickness is: 0.1 cm 
Solid Angle Correction: 
Divide data by empty beam flux, I0, from worksheet: I0 Beam Intensity 1 2 
Applying Default Instrument Mask 
Applying User Defined Mask 
Applying NanInf Mask 
Intensity units are:  cm-1 \\ \Delta\Omega  
  
***** Analysis ***** 
Averaging Worksheets through Depths  1:12 
Numor:  169704 
Averaging I vs. Q.  Bin size:  5 [Fractional Resolution]  linear 
 
 
***** Data ***** 
Mod_Q	I	Err_I	Sigma_Q	
 
 
0.00272172	692.13990943	3.63224600	0.00078731
0.00319474	556.68302063	1.78538211	0.00088390
0.00366965	455.42371351	1.27708325	0.00089081
0.00414327	347.43694178	0.97434970	0.00089603
0.00458226	258.85286049	0.82955801	0.00089590
0.00498273	190.93703926	0.65973243	0.00089525
0.00542912	128.44104135	0.44193593	0.00090873
0.00588706	80.40005030	0.35463128	0.00091017
0.00630323	50.02697247	0.26492980	0.00091616
0.00671498	29.15765408	0.19457085	0.00091907
0.00713090	16.16640927	0.13812868	0.00092567
0.00755704	8.67055789	0.09762773	0.00093117
0.00800157	5.06271055	0.07122342	0.00093752
0.00846313	4.31927188	0.06370972	0.00094478
0.00891711	4.64093967	0.06553103	0.00095140
0.00936078	5.27457199	0.06724762	0.00095457
0.00979898	5.72929186	0.06954572	0.00096431
0.01023060	5.70893813	0.06798180	0.00097170
0.01065650	5.20891951	0.06422455	0.00097854
0.01109196	4.41035956	0.05610156	0.00098850
0.01157029	3.55285317	0.04661027	0.00100196
0.01203953	2.62479512	0.04329498	0.00100506
0.01247554	1.88370973	0.03615880	0.00101632
0.01292500	1.50146300	0.03150746	0.00102717
0.01337917	1.23923166	0.02855525	0.00103524
0.01388509	1.23854682	0.02512792	0.00104751
0.01443181	1.30045844	0.02534012	0.00106036
0.01497947	1.35099560	0.02517266	0.00107600
0.01549965	1.40978525	0.02716432	0.00108415
0.01598184	1.39499496	0.02648225	0.00109545
0.01646613	1.26654781	0.02494806	0.00110677
0.01695976	1.13546034	0.02279557	0.00111895
0.01746602	1.00073456	0.02115319	0.00113555
0.01801895	0.84091446	0.01802848	0.00115125
0.01858054	0.73944723	0.01760959	0.00116300
0.01910770	0.67028947	0.01700576	0.00117694
0.01965039	0.63905842	0.01576381	0.00119381
0.02023706	0.63078052	0.01476432	0.00121371
0.02082713	0.66907616	0.01525681	0.00122796
0.02139010	0.64211068	0.01477006	0.00124134
0.02196818	0.64046247	0.01418474	0.00125904
0.02255653	0.60467175	0.01407418	0.00127736
0.02313200	0.57979936	0.01357091	0.00129457
0.02371583	0.53850306	0.01301601	0.00131194
0.02431045	0.52869318	0.01265137	0.00132953
0.02491384	0.52739716	0.01210730	0.00134847
0.02555525	0.53886806	0.01167020	0.00137305
0.02620400	0.52958942	0.01176471	0.00138961
0.02685413	0.50985258	0.01107206	0.00141309
0.02751624	0.51166740	0.01114885	0.00143252
0.02817524	0.49621251	0.01064401	0.00144899
0.02886832	0.47176544	0.01031656	0.00147605
0.02960799	0.46809399	0.01054117	0.00148535
0.03033441	0.44369548	0.01102958	0.00150870
0.03104727	0.46308477	0.01182338	0.00153392
0.03176368	0.48532467	0.01309438	0.00155848
0.03249423	0.45575938	0.01318226	0.00159207
0.03325110	0.46907050	0.01434245	0.00161788
0.03400926	0.44866590	0.01501175	0.00164449
0.03477287	0.46680508	0.01594360	0.00167081
0.03556236	0.44702915	0.01630535	0.00169763
0.03636787	0.43701732	0.01796637	0.00172567
0.03717364	0.45188938	0.01915756	0.00175309
0.03800250	0.45818344	0.02112053	0.00179090
0.03884160	0.46489195	0.02389277	0.00181544
0.03968737	0.45883877	0.02820036	0.00185625
0.04054383	0.49997436	0.03648293	0.00188558
0.04134171	0.37991650	0.05268469	0.00192306
0.04209943	0.45814350	0.10647585	0.00228343
0.04357281	0.45088498	0.01546186	0.00299610
0.04504400	0.44936671	0.00891196	0.00302280
0.04644673	0.43562747	0.01075616	0.00306757
0.04813570	0.44253777	0.01080810	0.00311850
0.04995502	0.41953903	0.00858002	0.00315829
0.05123348	0.42020784	0.00812447	0.00320006
0.05287986	0.41985716	0.00980361	0.00325694
0.05443269	0.42707809	0.00984411	0.00329920
0.05591854	0.43021196	0.00649743	0.00334216
0.05760077	0.42412630	0.00857324	0.00339849
0.05916830	0.41802915	0.00856743	0.00343640
0.06099417	0.41295492	0.00583878	0.00348538
0.06278691	0.42351949	0.00711920	0.00354080
0.06458726	0.41962946	0.00741665	0.00359981
0.06635140	0.43263130	0.00579663	0.00365211
0.06811121	0.42689080	0.00644382	0.00372295
0.06999161	0.41644441	0.00681501	0.00378503
0.07171376	0.42452380	0.00544180	0.00382046
0.07347452	0.41902918	0.00603738	0.00388542
0.07541525	0.42195173	0.00621040	0.00394184
