GRASP_Variant V.10.18    Instrument:  ILL_d22_2D 
  
***** Sample, Backgrounds and Transmissions Data: ***** 
Subtitle:  8/4 30% Silica 
Start: 23-Aug-23  22:57:21   End: 23-Aug-23  23:07:21 
  
Foreground:  169690 , Loaded: 169687{5} 
Background:  169686 , Loaded: 169686 
Blocked Beam:  169685 , Loaded: 169685 
  
Beam Centre1 :  Cx = 65.3644  Cy = 125.6666       Cm Translation :  Tx = -0.05  Ty = 0 [mm] 
Beam Centre2 :  Cx = 47  Cy = 123.0077       Cm Translation :  Tx = 10.0624  Ty = 0 [mm] 
Transmissions:  Ts = 0.6001 +/- 0.011102  Te = 0.9931 +/- 0.015857 
Transmissions Thickness Correction is:  on 
Applying standard SANS data reduction:  I_corr = 1/[Ts Te] [I_s - I_cd]  - 1/[Te] [I_bck - I_cd] 
  
***** Calibrations: ***** 
Data: Corrected for D22 Detector Parallax 
Data: Corrected for Detector Efficiency 
Data: Corrected for Relative Detector Efficiency (variation between detector panels) 
Data: Divided by Volume 
Sample Thickness is: 0.1 cm 
Solid Angle Correction: 
Divide data by empty beam flux, I0, from worksheet: I0 Beam Intensity 2 5 
Applying Default Instrument Mask 
Applying User Defined Mask 
Applying NanInf Mask 
Intensity units are:  cm-1 \\ \Delta\Omega  
  
***** Analysis ***** 
Averaging Worksheets through Depths  1:5 
Numor:  169690 
Averaging I vs. Q.  Bin size:  5 [Fractional Resolution]  linear 
 
 
***** Data ***** 
Mod_Q	I	Err_I	Sigma_Q	
 
 
0.00167837	361.28788438	7.04407490	0.00042834
0.00189293	383.31700682	5.25937014	0.00044824
0.00211466	414.54819221	4.10895158	0.00045817
0.00232519	462.99284533	3.96041307	0.00046605
0.00252389	522.46734239	4.10667707	0.00047128
0.00272644	595.21019837	4.13479255	0.00047247
0.00293092	699.81400600	4.42429641	0.00047123
0.00316183	858.01717997	4.28865182	0.00047671
0.00341639	1117.27653827	4.87114026	0.00048091
0.00365358	1427.30933804	5.89407168	0.00048005
0.00389382	1802.42000534	6.21134958	0.00048621
0.00415416	2149.93317731	6.69482203	0.00049200
0.00441465	2311.52498666	6.94084683	0.00049474
0.00465258	2232.13508504	7.10306924	0.00049423
0.00487908	1933.88994973	6.13361976	0.00050093
0.00511464	1519.21229184	4.99623057	0.00050329
0.00536235	1098.29002056	3.83241782	0.00050910
0.00560635	751.15453375	3.11888413	0.00051229
0.00584470	507.50143160	2.36328050	0.00051725
0.00609169	344.28321883	1.84755418	0.00052243
0.00633262	234.26394106	1.52291391	0.00052660
0.00656640	166.31807732	1.24024882	0.00053146
0.00682243	116.22662366	0.92996400	0.00053915
0.00708758	78.47945774	0.78382155	0.00054261
0.00734471	54.55573397	0.62930605	0.00054944
0.00760147	39.17179582	0.53484925	0.00055491
0.00786951	28.29639612	0.42298261	0.00056169
0.00815070	22.03948308	0.37120267	0.00056919
0.00842205	19.64592247	0.35448221	0.00057390
0.00868298	20.63227582	0.36187040	0.00058038
0.00894817	22.33557430	0.36011515	0.00058764
0.00921559	24.39737810	0.37747638	0.00059511
0.00950183	25.72743143	0.34970676	0.00060245
0.00979418	26.60343100	0.37284662	0.00061046
0.01006974	25.64563640	0.35945285	0.00061741
0.01035363	24.95577053	0.34075539	0.00062690
0.01065288	22.59064964	0.31097986	0.00063443
0.01094878	20.63405389	0.30509048	0.00064176
0.01124797	17.87826101	0.26778793	0.00065111
0.01156283	15.38851998	0.24418825	0.00066106
0.01188895	12.47449590	0.21192441	0.00067162
0.01221065	9.21549047	0.18953029	0.00067915
0.01252724	7.32470489	0.16546394	0.00069048
0.01286432	5.95005158	0.14203405	0.00070244
0.01319983	4.93757344	0.13380846	0.00071058
0.01352117	4.39937334	0.12682544	0.00072094
0.01386354	4.23883025	0.11588253	0.00073321
0.01421557	4.57145320	0.12184411	0.00074267
0.01455441	4.92865612	0.12651262	0.00075348
0.01490452	5.65236905	0.13329583	0.00076231
0.01526747	5.98977284	0.13431766	0.00077558
0.01562992	6.27801616	0.14016030	0.00078227
0.01599881	6.30810929	0.14681067	0.00079548
0.01637296	5.82802511	0.15633740	0.00080855
0.01675147	5.80154443	0.16370521	0.00082104
0.01713884	5.06149267	0.16330701	0.00083458
0.01753375	4.26111077	0.15878818	0.00084807
0.01793978	3.66358974	0.15689211	0.00086232
0.01835039	3.22631263	0.15442601	0.00087633
0.01876572	2.28048610	0.14987024	0.00089563
0.01918821	1.80577263	0.14969748	0.00091023
0.01961963	1.92569994	0.15891739	0.00092477
0.02005429	1.44881005	0.17066925	0.00093756
