GRASP_Variant V.10.18    Instrument:  ILL_d22_2D 
  
***** Sample, Backgrounds and Transmissions Data: ***** 
Subtitle:  8/4 40% Silica 
Start: 23-Aug-23  23:07:23   End: 23-Aug-23  23:17:23 
  
Foreground:  169691 , Loaded: 169687{5} 
Background:  169686 , Loaded: 169686 
Blocked Beam:  169685 , Loaded: 169685 
  
Beam Centre1 :  Cx = 65.3644  Cy = 125.6666       Cm Translation :  Tx = -0.05  Ty = 0 [mm] 
Beam Centre2 :  Cx = 47  Cy = 123.0077       Cm Translation :  Tx = 10.0624  Ty = 0 [mm] 
Transmissions:  Ts = 0.63824 +/- 0.011566  Te = 0.9931 +/- 0.015857 
Transmissions Thickness Correction is:  on 
Applying standard SANS data reduction:  I_corr = 1/[Ts Te] [I_s - I_cd]  - 1/[Te] [I_bck - I_cd] 
  
***** Calibrations: ***** 
Data: Corrected for D22 Detector Parallax 
Data: Corrected for Detector Efficiency 
Data: Corrected for Relative Detector Efficiency (variation between detector panels) 
Data: Divided by Volume 
Sample Thickness is: 0.1 cm 
Solid Angle Correction: 
Divide data by empty beam flux, I0, from worksheet: I0 Beam Intensity 2 6 
Applying Default Instrument Mask 
Applying User Defined Mask 
Applying NanInf Mask 
Intensity units are:  cm-1 \\ \Delta\Omega  
  
***** Analysis ***** 
Averaging Worksheets through Depths  1:5 
Numor:  169691 
Averaging I vs. Q.  Bin size:  5 [Fractional Resolution]  linear 
 
 
***** Data ***** 
Mod_Q	I	Err_I	Sigma_Q	
 
 
0.00167545	276.25326028	6.11367355	0.00042760
0.00188964	284.28384368	4.43007560	0.00044746
0.00211099	300.07284270	3.38452044	0.00045737
0.00232115	326.10320552	3.19425185	0.00046524
0.00251950	347.64246088	3.19750351	0.00047047
0.00272170	379.61734786	3.12974022	0.00047165
0.00292583	432.88015593	3.27480877	0.00047041
0.00315634	496.26907625	3.03237527	0.00047588
0.00341045	608.86376905	3.28844877	0.00048007
0.00364723	770.67360065	3.90673470	0.00047922
0.00388706	1023.03906426	4.19237579	0.00048536
0.00414694	1423.15419134	4.94829927	0.00049114
0.00440698	1922.87455294	5.97740108	0.00049388
0.00464449	2345.74967801	7.21396339	0.00049337
0.00487061	2556.02450668	7.32666097	0.00050006
0.00510575	2493.23767666	6.89963668	0.00050242
0.00535304	2107.27400456	5.78716810	0.00050822
0.00559661	1572.40385947	4.86341826	0.00051140
0.00583455	1062.56923757	3.58922580	0.00051636
0.00608110	657.32085187	2.60049064	0.00052152
0.00632162	403.11686820	1.99310819	0.00052568
0.00655499	254.57495028	1.51187193	0.00053054
0.00681058	159.59875081	1.06524767	0.00053822
0.00707526	100.06329249	0.86163999	0.00054166
0.00733195	66.04486002	0.67249364	0.00054848
0.00758826	45.59727581	0.55974069	0.00055395
0.00785583	32.78474785	0.44104108	0.00056072
0.00813654	26.76475502	0.39553488	0.00056820
0.00840742	25.99594014	0.39377572	0.00057290
0.00866789	28.48381442	0.41059888	0.00057937
0.00893262	32.82577289	0.42143433	0.00058662
0.00919957	37.53389235	0.45240789	0.00059408
0.00948531	41.68562098	0.43030922	0.00060140
0.00977716	43.91250364	0.46346092	0.00060940
0.01005224	44.37389285	0.45662986	0.00061634
0.01033564	41.25517351	0.42410688	0.00062581
0.01063437	36.45261263	0.38164154	0.00063332
0.01092976	31.68088954	0.36518984	0.00064065
0.01122842	26.01487581	0.31170003	0.00064998
0.01154274	21.19187177	0.27654582	0.00065991
0.01186830	16.36617486	0.23414463	0.00067045
0.01218943	12.31344595	0.21029711	0.00067797
0.01250547	9.28350977	0.17852202	0.00068928
0.01284197	7.46942639	0.15257416	0.00070122
0.01317690	6.09675844	0.14229494	0.00070935
0.01349767	5.94084849	0.14002361	0.00071969
0.01383945	5.85705002	0.12920901	0.00073194
0.01419087	6.41065504	0.13689174	0.00074138
0.01452912	6.96877800	0.14310776	0.00075217
0.01487862	7.82682738	0.14939507	0.00076098
0.01524094	8.03915257	0.14863755	0.00077424
0.01560276	8.30070095	0.15441901	0.00078091
0.01597101	8.23541300	0.16055367	0.00079410
0.01634451	8.07544670	0.17563740	0.00080715
0.01672236	7.05080894	0.17304493	0.00081961
0.01710906	5.96020303	0.17023328	0.00083312
0.01750328	5.08708779	0.16589694	0.00084660
0.01790860	4.28325629	0.16243189	0.00086082
0.01831850	3.53361703	0.15570541	0.00087481
0.01873311	2.81375852	0.15708779	0.00089407
0.01915487	2.35795884	0.15901463	0.00090865
0.01958554	2.39929590	0.16773447	0.00092316
0.02001945	2.04642133	0.18478499	0.00093593
0.02046118	1.76768590	0.18995548	0.00095408
0.02090068	1.80822923	0.24299133	0.00097732
0.02134699	2.22987938	0.35001786	0.00099155
0.02179515	1.12445934	0.41928966	0.00101560
0.02221624	1.51006718	0.64848011	0.00111991
0.02287951	1.75245385	0.13906931	0.00155752
0.02348501	1.69356837	0.06359914	0.00157594
0.02421616	1.59536001	0.07547828	0.00159925
0.02509654	1.35800813	0.06909133	0.00162580
0.02604509	1.31744595	0.05578822	0.00164656
0.02671151	1.26973946	0.05214387	0.00166834
0.02752729	1.17122024	0.06413326	0.00169604
0.02818759	1.25096634	0.06607354	0.00171394
0.02900015	1.11231543	0.03952477	0.00173560
0.02983262	1.10262601	0.04848394	0.00176281
0.03081697	0.97467610	0.04163970	0.00179028
0.03182795	0.85716985	0.03191299	0.00181788
0.03273870	0.87079918	0.03752626	0.00184583
0.03359304	0.79729217	0.04109308	0.00187364
0.03451404	0.74317650	0.02753733	0.00190087
0.03541100	0.76188500	0.03394210	0.00193673
0.03635609	0.78946692	0.03240439	0.00196809
0.03733231	0.77321874	0.02749352	0.00199315
0.03816124	0.69771554	0.02940240	0.00201567
0.03913193	0.70807418	0.02968191	0.00204720
0.04019767	0.73740218	0.02289351	0.00208713
0.04129531	0.69593206	0.02603819	0.00212271
0.04245143	0.67224507	0.02427854	0.00216271
0.04332929	0.68314679	0.02388863	0.00219413
0.04435657	0.64686160	0.02386015	0.00222782
0.04549064	0.66114732	0.02194587	0.00226642
0.04653994	0.66577842	0.02076657	0.00230048
0.04773979	0.62006927	0.02253114	0.00234088
0.04885578	0.63480689	0.01811483	0.00238217
0.05007982	0.67086407	0.02248640	0.00242771
0.05123436	0.63989134	0.01898796	0.00246194
0.05232685	0.65282166	0.01970178	0.00250536
0.05360673	0.65353931	0.01939990	0.00254573
0.05469308	0.63286254	0.01782234	0.00259005
0.05590640	0.62442514	0.01971919	0.00263044
0.05709235	0.63146500	0.01687689	0.00267836
0.05841464	0.63699387	0.01694385	0.00273207
0.05985583	0.64314870	0.01571139	0.00277827
0.06111904	0.65795699	0.01794163	0.00282894
0.06255833	0.67433477	0.01509334	0.00287372
0.06395682	0.61317908	0.01570059	0.00293139
0.06540482	0.61700973	0.01490339	0.00297691
0.06671832	0.64713430	0.01551737	0.00302879
0.06818941	0.62906457	0.01462091	0.00309027
0.06960841	0.63789911	0.01429853	0.00313851
0.07115876	0.64439157	0.01409885	0.00319768
0.07263263	0.66671699	0.01416533	0.00325659
0.07425380	0.64140213	0.01293966	0.00331372
0.07579282	0.66312563	0.01444593	0.00337702
0.07732213	0.66241505	0.01278035	0.00343858
0.07901494	0.67357139	0.01307102	0.00349976
0.08064642	0.68101727	0.01235788	0.00356011
0.08240104	0.65127652	0.01268190	0.00363316
0.08400942	0.63458985	0.01205014	0.00368821
0.08582340	0.65205314	0.01144371	0.00376391
0.08755384	0.66131275	0.01254365	0.00383287
0.08929501	0.66199468	0.01087890	0.00390020
0.09125696	0.66404113	0.01124268	0.00397188
0.09307899	0.63147003	0.01090159	0.00404537
0.09497264	0.65829226	0.01045420	0.00412415
0.09702282	0.66037918	0.01040817	0.00419757
